n_models,rep,rank_whitened,rank_naive_raw,noise_edge_whitened,noise_edge_naive,cov_condition,spectrum_relerr
90,0,3,23,17.717896308856247,17.717896308856247,6719.48735175841,9.303818026813925e-16
90,1,3,22,17.668890534978612,17.668890534978612,7947.382857978433,1.0984431359327586e-15
90,2,3,22,17.773463187187904,17.773463187187904,9839.729174424836,1.093619473598731e-15
90,3,3,22,17.7734826184557,17.7734826184557,9601.049998567598,1.3333539556451554e-15
90,4,3,25,17.586022076626964,17.586022076626964,8902.515622396886,1.00185755218895e-15
90,5,3,23,17.798558230964073,17.798558230964073,8641.306881845387,1.1581723635730581e-15
90,6,3,25,17.713927685977026,17.713927685977026,7272.18299450617,1.1459178135708734e-15
90,7,3,20,17.700398561763436,17.700398561763436,9163.320960385845,1.1661306411190753e-15
90,8,3,22,17.75575692527421,17.75575692527421,7660.092852902611,1.5635307176342076e-15
90,9,3,23,17.666634185575237,17.666634185575237,8280.364600138606,8.593702009510829e-16
180,0,3,24,21.67119634820912,21.67119634820912,4841.473473610154,1.2491618622545568e-15
180,1,3,24,21.641071298666283,21.641071298666283,8136.281265616704,9.225281175635145e-16
180,2,3,24,21.572271285688828,21.572271285688828,8629.5915228445,7.878622516867574e-16
180,3,3,25,21.56430705486152,21.56430705486152,9524.334286057217,7.69155473502576e-16
180,4,3,27,21.63184164579168,21.63184164579168,9347.220481301889,1.1125060259982478e-15
180,5,3,25,21.6259604764396,21.6259604764396,6582.4224025100075,7.861568941724408e-16
180,6,3,35,21.74988857149963,21.74988857149963,7835.547526330068,8.665107132946625e-16
180,7,3,24,21.621355225862278,21.621355225862278,4077.032239031726,1.3334088422382403e-15
180,8,3,27,21.678572764273998,21.678572764273998,7508.56912103451,7.263610596736233e-16
180,9,3,31,21.556698268604563,21.556698268604563,8924.043910622051,8.855722033535811e-16
360,0,3,26,27.167507162078547,27.167507162078547,8664.030833957751,8.626076791252384e-16
360,1,3,33,27.177651299203482,27.177651299203482,7330.7142655176485,7.844934055157484e-16
360,2,3,29,27.185424902196335,27.185424902196335,7597.5959310374,9.595137404029123e-16
360,3,3,29,27.142605511374974,27.142605511374974,8825.694846428549,1.080954964686409e-15
360,4,3,33,27.10509062955055,27.10509062955055,6374.772229516496,7.9971733479588105e-16
360,5,3,25,27.251707030633103,27.251707030633103,7413.259257525918,1.2589659226124578e-15
360,6,3,24,27.166323408397417,27.166323408397417,8685.82742623606,1.112097485962215e-15
360,7,3,31,27.247868444616635,27.247868444616635,7707.545946476605,8.027050512345102e-16
360,8,3,24,27.195882815410716,27.195882815410716,4566.335802840741,7.829034227019761e-16
360,9,3,24,27.069166179622577,27.069166179622577,7842.037410856957,1.1335478814138855e-15
